"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 15 12:03:59 GMT 2022","Fri Jul 15 12:03:59 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_004 - Verify multi-tab display correctly if there is multiple sections of multi-tab","Display_004 - Verify multi-tab display correctly if there is multiple sections of multi-tab",""
"passed","Fri Jul 15 12:02:51 GMT 2022","Fri Jul 15 12:03:14 GMT 2022","22386","","MultiTab - Display","","MultiTab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"broken","Fri Jul 15 12:03:14 GMT 2022","Fri Jul 15 12:03:59 GMT 2022","45057","","MultiTab - Display","","MultiTab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"passed","Fri Jul 15 12:01:45 GMT 2022","Fri Jul 15 12:01:53 GMT 2022","8512","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"skipped","Fri Jul 15 12:03:59 GMT 2022","Fri Jul 15 12:03:59 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_005 - Verify multi-tab display correctly if there is new field added to any tab","Display_005 - Verify multi-tab display correctly if there is new field added to any tab",""
"skipped","Fri Jul 15 12:03:59 GMT 2022","Fri Jul 15 12:03:59 GMT 2022","153","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"passed","Fri Jul 15 12:01:25 GMT 2022","Fri Jul 15 12:01:34 GMT 2022","9028","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"skipped","Fri Jul 15 12:03:59 GMT 2022","Fri Jul 15 12:03:59 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
"passed","Fri Jul 15 12:01:34 GMT 2022","Fri Jul 15 12:01:45 GMT 2022","10365","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"passed","Fri Jul 15 12:01:58 GMT 2022","Fri Jul 15 12:02:51 GMT 2022","53595","","MultiTab - Display","","MultiTab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
"passed","Fri Jul 15 12:01:53 GMT 2022","Fri Jul 15 12:01:58 GMT 2022","4551","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
